Country,Region,Maths score,Maths F,Maths M,Reading,Reading F,Reading M,Science,Science F,Science M
Albania,Europe,413,418,409,405,435,376,427,439,415
Algeria,Africa,360,363,356,350,366,335,376,383,369
Argentina,South America,409,400,418,425,433,417,432,425,440
Australia,Australasia,494,491,497,503,519,487,510,509,511
Austria,Europe,497,483,510,485,495,475,495,486,504
Belgium,Europe,507,500,514,499,507,491,502,496,508
Brazil,South America,377,370,385,407,419,395,401,399,403
Bulgaria,Europe,441,442,440,432,457,409,446,454,438
Canada,North America,516,511,520,527,540,514,528,527,528
Chile,South America,423,413,432,459,465,453,447,440,454
Colombia,South America,390,384,395,425,432,417,416,411,421
Costa Rica,Central America,400,392,408,427,435,420,420,411,429
Croatia,Europe,464,458,471,487,500,473,475,473,478
Cyprus,Europe,437,440,435,443,469,417,433,441,424
Czech Republic,Europe,492,489,496,487,501,475,493,488,497
Denmark,Europe,511,506,516,500,511,489,502,499,505
Dominican Republic,Central America,328,330,326,358,373,342,332,331,332
Estonia,Europe,520,517,522,519,533,505,534,533,536
Finland,Europe,511,515,507,526,551,504,531,541,521
France,Europe,493,490,496,499,514,485,495,494,496
Georgia,Europe,404,411,398,401,432,374,411,420,403
Germany,Europe,506,498,514,509,520,499,509,504,514
Greece,Europe,454,454,454,467,486,449,455,459,451
"Hong Kong SAR, China",Asia,548,547,549,527,541,513,523,524,523
Hungary,Europe,477,473,481,470,482,457,477,475,478
Iceland,Europe,488,489,487,482,502,460,473,475,472
Indonesia,Asia,386,387,385,397,409,386,403,405,401
Ireland,Europe,504,495,512,521,527,515,503,497,508
Israel,Asia,470,466,474,479,490,467,467,464,469
Italy,Europe,490,480,500,485,493,477,481,472,489
Japan,Asia,532,525,539,516,523,509,538,532,545
Jordan,Asia,380,387,373,408,444,372,409,428,389
Kazakhstan,Europe,460,461,459,427,435,419,456,458,455
"Korea, Rep.",Asia,524,528,521,517,539,498,516,521,511
Latvia,Europe,482,483,481,488,509,467,490,496,485
Lebanon,Asia,396,386,408,347,353,339,386,386,388
Lithuania,Europe,478,479,478,472,492,453,475,479,472
Luxembourg,Europe,486,480,491,481,492,471,483,479,487
"Macao SAR, China",Asia,544,548,540,509,525,493,529,532,525
"Macedonia, FYR",Europe,371,375,368,352,376,330,384,394,374
Malaysia,Asia,446,449,443,431,445,414,443,445,441
Malta,Europe,479,481,477,447,468,426,465,470,460
Mexico,Central America,408,404,412,423,431,416,416,412,420
Moldova,Europe,420,421,419,416,442,390,428,431,425
Montenegro,Europe,418,418,418,427,444,410,411,414,409
Netherlands,Europe,512,511,513,503,515,491,509,507,511
New Zealand,Australasia,495,491,499,509,526,493,513,511,516
Norway,Europe,502,503,501,513,533,494,498,497,500
Peru,South America,387,382,391,398,401,394,397,392,402
Poland,Europe,504,499,510,506,521,491,501,498,504
Portugal,Europe,492,487,497,498,507,490,501,496,506
Qatar,Asia,402,408,397,402,429,376,418,429,406
Russian Federation,Europe,494,491,497,495,507,481,487,485,489
Singapore,Asia,564,564,564,535,546,525,556,552,559
Slovak Republic,Europe,475,472,478,453,471,435,461,461,460
Slovenia,Europe,510,508,512,505,528,484,513,516,510
Spain,Europe,486,478,494,496,506,485,493,489,496
Sweden,Europe,494,495,493,500,520,481,493,496,491
Switzerland,Europe,521,515,527,492,505,480,506,502,508
Thailand,Asia,415,417,414,409,423,392,421,425,416
Trinidad and Tobago,Central America,417,426,408,427,452,401,425,435,414
Tunisia,Africa,367,364,370,361,373,348,386,385,388
Turkey,Europe,420,418,423,428,442,414,425,429,422
United Arab Emirates,Asia,427,431,424,434,458,408,437,449,424
United Kingdom,Europe,492,487,498,498,509,487,509,509,510
United States,North America,470,465,474,497,507,487,496,493,500
Uruguay,South America,418,412,425,437,448,424,435,431,440
Vietnam,Asia,495,496,,,,,525,,
